,x coord,y coord,quality,x mm,y mm,x%,y%
0,488,478,1.0,14.57138263665595,-31.186655948553057,0.2456610071087575,-0.759446145100525
1,475,376,1.0,12.713344051446946,-16.608199356913186,0.21433607100138155,-0.40443685271918145
2,425,125,1.0,5.567041800643087,19.266237942122185,0.09385554751147411,0.4691644451996149
3,280,70,1.0,-15.157234726688104,27.12717041800643,-0.2555379706092574,0.6605910244248492
4,439,422,0.9999999999999996,7.568006430868167,-23.182797427652734,0.1275900940886482,-0.5645390826166501
5,498,345,0.96875,16.000643086816723,-12.177491961414791,0.269757111806739,-0.29654187170132207
6,762,58,0.9375,53.733118971061096,28.842282958199355,0.9058942758334502,0.7023568235285367
7,251,115,0.9250000000000005,-19.30209003215434,20.695498392282957,-0.3254166742334037,0.5039692777860212
8,675,272,0.9166666666666672,41.298553054662385,-1.7438906752411576,0.6962581649610113,-0.04246659382055662
9,280,455,0.9166666666666663,-15.157234726688104,-27.899356913183283,-0.2555379706092574,-0.6793950301517907
10,361,20,0.90625,-3.580225080385852,34.273472668810285,-0.06035952255560739,0.8346151873568802
11,225,113,0.90625,-23.018167202572346,20.98135048231511,-0.3880665464481556,0.5109302443033024
12,72,95,0.90625,-44.88585209003215,23.5540192926045,-0.7567369483272722,0.5735789429588336
13,330,233,0.9000000000000005,-8.010932475884244,3.830225080385852,-0.13505744711935,0.09327225326642767
14,634,217,0.8750000000000004,35.438585209003215,6.117041800643087,0.5974641356992871,0.14895998540467764
15,435,383,0.8750000000000004,6.996302250803859,-17.608681672025725,0.1179516522094556,-0.4288002355296658
16,697,85,0.875,44.44292604501608,24.983279742765273,0.7492695952965706,0.6083837755452398
17,628,31,0.875,34.581028938906755,32.70128617363344,0.5830064728804983,0.7963298715118335
18,514,51,0.875,18.287459807073958,29.842765273311898,0.30831087932350937,0.726720206339021
19,369,212,0.875,-2.4368167202572346,6.831672025723473,-0.041082638797222196,0.16636240169788077
20,133,491,0.875,-36.167363344051445,-33.04469453376206,-0.6097507096695852,-0.8046924274628531
21,103,338,0.875,-40.455144694533764,-11.17700964630225,-0.6820390237635298,-0.27217848889083773
22,75,466,0.875,-44.45707395498392,-29.47154340836013,-0.7495081169178778,-0.7176803459968375
23,719,311,0.8500000000000004,47.587299035369774,-7.318006430868167,0.8022810256321298,-0.17820544090754092
24,652,164,0.8500000000000004,38.01125401929261,13.692122186495178,0.6408371241556539,0.3334255981126307
25,83,481,0.8500000000000004,-43.3136655948553,-31.615434083601286,-0.7302312331594926,-0.7698875948764468
26,606,29,0.84375,31.436655948553057,32.98713826366559,0.529995042544939,0.8032908380291147
27,435,472,0.84375,6.996302250803859,-30.329099678456593,0.1179516522094556,-0.7385632455486812
28,336,505,0.84375,-7.153376205787782,-35.04565916398714,-0.12059978430056112,-0.8534191930838217
29,292,217,0.84375,-13.442122186495178,6.117041800643087,-0.22662264497167964,0.14895998540467764
